PassengerId,Survived
0,0
1,1
2,1
3,1
4,0
5,2
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,1
16,2
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,2
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,2
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,0
125,1
126,2
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,0
138,0
139,1
140,1
141,1
142,1
143,2
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,2
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,2
189,0
190,1
191,0
192,1
193,0
194,1
195,1
196,2
197,0
198,1
199,1
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,2
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,2
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,2
279,1
280,2
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,2
302,0
303,1
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,0
315,1
316,1
317,0
318,1
319,1
320,0
321,0
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,2
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,1
388,2
389,1
390,0
391,0
392,0
393,1
394,1
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,0
411,2
412,1
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,2
422,0
423,1
424,0
425,0
426,1
427,1
428,2
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,1
437,1
438,0
439,0
440,1
441,0
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,1
454,0
455,1
456,0
457,1
458,1
459,2
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,2
469,1
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,1
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,2
511,0
512,0
513,1
514,0
515,0
516,1
517,2
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,2
526,1
527,0
528,0
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,0
537,1
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,0
552,2
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,2
561,0
562,0
563,0
564,1
565,0
566,0
567,1
568,1
569,0
570,0
571,1
572,0
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,0
587,1
588,0
589,0
590,0
591,1
592,0
593,1
594,0
595,0
596,1
597,0
598,1
599,1
600,1
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,2
614,0
615,1
616,0
617,1
618,1
619,0
620,1
621,0
622,1
623,0
624,0
625,0
626,2
627,1
628,0
629,2
630,0
631,0
632,1
633,0
634,1
635,1
636,0
637,0
638,1
639,0
640,0
641,1
642,1
643,0
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,1
652,0
653,1
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,1
671,0
672,0
673,0
674,0
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,1
690,0
691,1
692,0
693,1
694,0
695,0
696,0
697,1
698,1
699,0
700,1
701,0
702,1
703,2
704,0
705,0
706,1
707,0
708,1
709,1
710,1
711,0
712,0
713,0
714,0
715,0
716,1
717,1
718,2
719,0
720,1
721,0
722,0
723,0
724,0
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,0
734,0
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,2
750,1
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,0
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,1
768,2
769,0
770,0
771,0
772,1
773,1
774,1
775,0
776,2
777,1
778,2
779,1
780,1
781,1
782,0
783,0
784,0
785,0
786,1
787,2
788,0
789,1
790,2
791,0
792,1
793,1
794,0
795,0
796,1
797,1
798,1
799,1
800,0
801,1
802,0
803,1
804,0
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,0
813,1
814,0
815,0
816,1
817,1
818,0
819,0
820,1
821,0
822,0
823,1
824,0
825,2
826,0
827,1
828,2
829,1
830,1
831,0
832,1
833,0
834,0
835,1
836,0
837,0
838,0
839,1
840,0
841,0
842,1
843,1
844,0
845,0
846,0
847,1
848,0
849,1
850,0
851,0
852,1
853,1
854,1
855,1
856,1
857,0
858,1
859,1
860,0
861,0
862,1
863,1
864,0
865,1
866,1
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,1
875,1
876,0
877,0
878,0
879,1
880,1
881,0
882,1
883,0
884,0
885,1
886,0
887,1
888,1
889,1
890,2
