0,76687,0,415,545,819,135,1368,819,5630,0,3432,9082,1503,0,0,13732,1368,1783
76687,0,40951,4118,5767,2055,1917,2746,1097,5712,0,0,0,268,0,1373,268,0,0
0,40951,0,3848,2524,3213,2072,4225,566,0,0,404,9372,0,972,0,13538,1368,0
415,4118,3848,0,256,0,0,0,0,829,128,0,0,0,0,0,0,0,0
545,5767,2524,256,0,0,0,0,47,1655,287,0,42,0,0,0,226,0,0
819,2055,3213,0,0,0,0,0,0,926,161,0,0,0,0,0,0,0,0
135,1917,2072,0,0,0,0,0,196,1538,196,0,0,0,0,0,0,0,0
1368,2746,4225,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0
819,1097,566,0,47,0,196,0,0,1954,418,0,0,0,0,0,0,0,0
5630,5712,0,829,1655,926,1538,0,1954,0,0,282,0,0,0,0,0,0,0
0,0,0,128,287,161,196,301,418,0,0,1686,0,0,0,0,226,0,0
3432,0,404,0,0,0,0,0,0,282,1686,0,0,0,0,0,0,0,0
9082,0,9372,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0,0
0,1373,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0,0,0
13732,268,13538,0,226,0,0,0,0,0,226,0,0,0,0,0,0,0,0
1368,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
